jzrq,zz,wz,glzl,yxgc,xzqz,xzcy,xzsw,train or test
2020-01-19,,1,,,,,,train
2020-01-20,4,,,,8.0,0.0,0.0,train
2020-01-21,,,,,5.0,0.0,0.0,train
2020-01-22,,,,,1.0,0.0,0.0,train
2020-01-23,8,2,,,0.0,2.0,0.0,train
2020-01-24,7,3,,,5.0,0.0,0.0,train
2020-01-25,9,3,,,7.0,0.0,0.0,train
2020-01-26,,,,,9.0,0.0,0.0,train
2020-01-27,,,,,13.0,2.0,0.0,train
2020-01-28,,,,,8.0,0.0,0.0,train
2020-01-29,,,,,23.0,0.0,0.0,train
2020-01-30,16,8,94,325,18.0,0.0,0.0,train
2020-01-31,12,8,130,327,36.0,0.0,0.0,train
2020-02-01,12,9,165,327,36.0,1.0,0.0,train
2020-02-02,24,8,202,670,37.0,0.0,0.0,train
2020-02-03,24,5,235,670,38.0,5.0,0.0,train
2020-02-04,23,10,258,851,26.0,3.0,0.0,train
2020-02-05,32,12,275,878,20.0,3.0,0.0,train
2020-02-06,32,12,295,947,25.0,5.0,0.0,train
2020-02-07,28,13,308,958,23.0,10.0,0.0,train
2020-02-08,29,13,315,1045,15.0,8.0,0.0,train
2020-02-09,35,12,320,1153,12.0,7.0,0.0,train
2020-02-10,35,12,313,1104,3.0,10.0,0.0,train
2020-02-11,30,12,320,850,17.0,10.0,0.0,train
2020-02-12,29,12,310,665,5.0,15.0,0.0,train
2020-02-13,28,11,306,554,9.0,13.0,0.0,train
2020-02-14,29,9,302,522,6.0,10.0,0.0,train
2020-02-15,29,9,299,541,8.0,11.0,0.0,train
2020-02-16,26,8,282,436,1.0,16.0,2.0,train
2020-02-17,22,7,262,359,1.0,21.0,0.0,train
2020-02-18,15,9,251,307,0.0,11.0,0.0,train
2020-02-19,10,10,232,287,0.0,19.0,0.0,train
2020-02-20,10,9,215,232,0.0,17.0,0.0,train
2020-02-21,10,9,193,202,1.0,23.0,0.0,train
2020-02-22,7,8,188,175,0.0,4.0,1.0,train
2020-02-23,5,8,177,159,0.0,11.0,0.0,train
2020-02-24,7,6,165,132,0.0,12.0,0.0,train
2020-02-25,5,6,152,104,0.0,13.0,0.0,train
2020-02-26,4,4,143,96,0.0,9.0,0.0,train
2020-02-27,3,4,133,79,0.0,10.0,0.0,train
2020-02-28,5,2,115,73,0.0,18.0,0.0,train
2020-02-29,5,2,106,61,0.0,9.0,0.0,train
2020-03-01,6,2,95,103,1.0,12.0,0.0,train
2020-03-02,6,2,83,102,0.0,12.0,0.0,train
2020-03-03,5,3,74,102,0.0,9.0,0.0,train
2020-03-04,5,3,65,101,0.0,9.0,0.0,train
2020-03-05,4,3,57,97,0.0,8.0,0.0,train
2020-03-06,4,3,55,97,1.0,3.0,0.0,train
2020-03-07,4,3,48,133,0.0,7.0,0.0,train
2020-03-08,4,3,43,145,0.0,5.0,0.0,train
2020-03-09,2,3,35,153,0.0,8.0,0.0,train
2020-03-10,2,3,29,157,0.0,6.0,0.0,train
2020-03-11,2,3,25,160,1.0,5.0,0.0,train
2020-03-12,2,3,22,160,0.0,3.0,0.0,train
2020-03-13,2,3,21,170,0.0,1.0,0.0,train
2020-03-14,1,3,19,117,1.0,3.0,0.0,train
2020-03-15,1,2,19,124,2.0,2.0,0.0,train
2020-03-16,1,2,18,130,0.0,1.0,0.0,train
2020-03-17,1,1,19,120,2.0,1.0,0.0,train
2020-03-18,1,1,17,147,2.0,4.0,0.0,train
2020-03-19,1,1,20,162,5.0,2.0,0.0,train
2020-03-20,1,,23,178,4.0,1.0,0.0,train
2020-03-21,1,,25,190,3.0,1.0,0.0,train
2020-03-22,1,,23,208,0.0,2.0,0.0,train
2020-03-23,,,23,234,1.0,1.0,0.0,train
2020-03-24,,,24,243,1.0,0.0,0.0,train
2020-03-25,,,25,293,2.0,1.0,0.0,train
2020-03-26,,,25,370,1.0,1.0,0.0,train
2020-03-27,,,27,391,2.0,0.0,0.0,train
2020-03-28,,,28,393,1.0,0.0,0.0,train
2020-03-29,,,30,385,2.0,0.0,0.0,train
2020-03-30,,,31,395,1.0,0.0,0.0,train
2020-03-31,,,31,411,1.0,1.0,0.0,train
2020-04-01,,,29,429,0.0,2.0,0.0,train
2020-04-02,,,30,468,1.0,0.0,0.0,train
2020-04-03,,,31,473,1.0,0.0,0.0,train
2020-04-04,,,32,445,1.0,0.0,0.0,train
2020-04-05,,,32,399,1.0,1.0,0.0,train
2020-04-06,,,32,412,0.0,0.0,0.0,train
2020-04-07,,,32,305,1.0,1.0,0.0,train
2020-04-08,,,31,299,0.0,1.0,0.0,train
2020-04-09,,,30,249,0.0,1.0,0.0,train
2020-04-10,,,30,234,0.0,0.0,0.0,train
2020-04-11,,,30,229,0.0,0.0,0.0,train
2020-04-12,,,30,219,0.0,0.0,0.0,train
2020-04-13,,,31,203,2.0,1.0,0.0,train
2020-04-14,,,28,191,0.0,3.0,0.0,train
2020-04-15,,,26,185,0.0,2.0,0.0,train
2020-04-16,,,27,194,1.0,0.0,0.0,train
2020-04-17,,,28,193,1.0,0.0,0.0,train
2020-04-18,,,27,182,1.0,2.0,0.0,train
2020-04-19,,,26,219,0.0,1.0,0.0,train
2020-04-20,,,25,244,0.0,1.0,0.0,train
2020-04-21,,,19,205,0.0,6.0,0.0,train
2020-04-22,,,18,221,0.0,1.0,0.0,train
2020-04-23,,,13,213,0.0,5.0,0.0,train
2020-04-24,,,12,206,0.0,1.0,0.0,train
2020-04-25,,,12,196,0.0,0.0,0.0,train
2020-04-26,,,12,162,0.0,0.0,0.0,train
2020-04-27,,,11,155,0.0,1.0,0.0,train
2020-04-28,,,8,156,1.0,4.0,0.0,train
2020-04-29,,,5,159,0.0,3.0,0.0,train
2020-04-30,,,4,118,0.0,1.0,0.0,train
2020-05-01,,,4,110,0.0,0.0,0.0,train
2020-05-02,,,4,62,0.0,0.0,0.0,train
2020-05-03,,,3,52,0.0,1.0,0.0,train
2020-05-04,,,2,55,0.0,1.0,0.0,train
2020-05-05,,,1,53,0.0,1.0,0.0,train
2020-05-06,,,1,52,0.0,0.0,0.0,train
2020-05-07,,,1,42,0.0,0.0,0.0,train
2020-05-08,,,1,42,0.0,0.0,0.0,train
2020-05-09,,,1,39,0.0,0.0,0.0,train
2020-05-10,,,1,48,0.0,0.0,0.0,train
2020-05-11,,,1,73,0.0,0.0,0.0,train
2020-05-12,,,1,69,0.0,0.0,0.0,train
2020-05-13,,,1,74,0.0,0.0,0.0,train
2020-05-14,,,1,77,0.0,0.0,0.0,train
2020-05-15,,,1,78,0.0,0.0,0.0,train
2020-05-16,,,1,79,0.0,0.0,0.0,train
2020-05-17,,,1,70,0.0,0.0,0.0,train
2020-05-18,,,1,75,0.0,0.0,0.0,train
2020-05-19,,,1,60,0.0,0.0,0.0,train
2020-05-20,,,1,51,0.0,0.0,0.0,train
2020-05-21,,,,16,0.0,1.0,0.0,train
2020-05-22,,,,18,0.0,0.0,0.0,train
2020-05-23,,,,65,0.0,0.0,0.0,train
2020-05-24,,,,17,0.0,0.0,0.0,train
2020-05-25,,,,20,0.0,0.0,0.0,train
2020-05-26,,,,14,0.0,0.0,0.0,train
2020-05-27,,,,6,0.0,0.0,0.0,train
2020-05-28,,,,2,0.0,0.0,0.0,train
2020-05-29,,,,1,0.0,0.0,0.0,train
2020-05-30,,,,1,0.0,0.0,0.0,train
2020-05-31,,,,1,0.0,0.0,0.0,train
2020-06-01,,,,1,0.0,0.0,0.0,train
2020-06-02,,,,1,0.0,0.0,0.0,train
2020-06-03,,,,1,0.0,0.0,0.0,train
2020-06-04,,,,,0.0,0.0,0.0,train
2020-06-05,,,,,0.0,0.0,0.0,train
2020-06-06,,,,,0.0,0.0,0.0,train
2020-06-07,,,,,0.0,0.0,0.0,train
2020-06-08,,,,,0.0,0.0,0.0,train
2020-06-09,,,,,0.0,0.0,0.0,train
2020-06-10,,,,,0.0,0.0,0.0,train
2020-06-11,,,,,0.0,0.0,0.0,train
2020-06-12,,,,,0.0,0.0,0.0,train
2020-06-13,,,,,0.0,0.0,0.0,train
2020-06-14,,,,1,0.0,0.0,0.0,train
2020-06-15,,,,1,0.0,0.0,0.0,train
2020-06-16,,,,,0.0,0.0,0.0,train
2020-06-17,,,,,0.0,0.0,0.0,train
2020-06-18,,,,,0.0,0.0,0.0,train
2020-06-19,,,,,0.0,0.0,0.0,train
2020-06-20,,,,,0.0,0.0,0.0,train
2020-06-21,,,,,0.0,0.0,0.0,train
2020-06-22,,,,,0.0,0.0,0.0,train
2020-06-23,,,,,0.0,0.0,0.0,train
2020-06-24,,,,,0.0,0.0,0.0,train
2020-06-25,,,,,0.0,0.0,0.0,train
2020-06-26,,,,,0.0,0.0,0.0,train
2020-06-27,,,,,0.0,0.0,0.0,train
2020-06-28,,,,,0.0,0.0,0.0,train
2020-06-29,,,,,0.0,0.0,0.0,train
2020-06-30,,,,,0.0,0.0,0.0,train
2020-07-01,,,,,0.0,0.0,0.0,train
2020-07-02,,,,,0.0,0.0,0.0,train
2020-07-03,,,,1,0.0,0.0,0.0,train
2020-07-04,,,,1,0.0,0.0,0.0,train
2020-07-05,,,,1,0.0,0.0,0.0,train
2020-07-06,,,,1,0.0,0.0,0.0,train
2020-07-07,,,,1,0.0,0.0,0.0,train
2020-07-08,,,,1,0.0,0.0,0.0,train
2020-07-09,,,,1,0.0,0.0,0.0,train
2020-07-10,,,,1,0.0,0.0,0.0,train
2020-07-11,,,,1,0.0,0.0,0.0,train
2020-07-12,,,,1,0.0,0.0,0.0,train
2020-07-13,,,,1,0.0,0.0,0.0,train
2020-07-14,,,,,0.0,0.0,0.0,train
2020-07-15,,,,,0.0,0.0,0.0,train
2020-07-16,,,,,0.0,0.0,0.0,train
2020-07-17,,,,,0.0,0.0,0.0,train
2020-07-18,,,,1,0.0,0.0,0.0,train
2020-07-19,,,,1,0.0,0.0,0.0,train
2020-07-20,,,,3,0.0,0.0,0.0,train
2020-07-21,,,,3,0.0,0.0,0.0,train
2020-07-22,,,,4,0.0,0.0,0.0,train
2020-07-23,,,,4,0.0,0.0,0.0,train
2020-07-24,,,,7,0.0,0.0,0.0,train
2020-07-25,,,,6,0.0,0.0,0.0,train
2020-07-26,,,,6,0.0,0.0,0.0,train
2020-07-27,,,,25,0.0,0.0,0.0,train
2020-07-28,,,,15,0.0,0.0,0.0,train
2020-07-29,,,,20,0.0,0.0,0.0,train
2020-07-30,,,,22,0.0,0.0,0.0,train
2020-07-31,,,,20,0.0,0.0,0.0,train
2020-08-01,,,,20,0.0,0.0,0.0,train
2020-08-02,,,,24,0.0,0.0,0.0,train
2020-08-03,,,1,79,1.0,0.0,0.0,train
2020-08-04,,,1,85,0.0,0.0,0.0,train
2020-08-05,,,1,85,0.0,0.0,0.0,train
2020-08-06,,,1,79,0.0,0.0,0.0,train
2020-08-07,,,1,82,0.0,0.0,0.0,train
2020-08-08,,,1,79,0.0,0.0,0.0,train
2020-08-09,,,1,80,0.0,0.0,0.0,train
2020-08-10,,,3,78,2.0,0.0,0.0,train
2020-08-11,,,3,119,0.0,0.0,0.0,train
2020-08-12,,,3,207,0.0,0.0,0.0,train
2020-08-13,,,3,207,0.0,0.0,0.0,train
2020-08-14,,,3,218,0.0,0.0,0.0,train
2020-08-15,,,3,242,0.0,0.0,0.0,train
2020-08-16,,,3,241,0.0,0.0,0.0,train
2020-08-17,,,3,186,0.0,0.0,0.0,train
2020-08-18,,,3,300,0.0,0.0,0.0,train
2020-08-19,,,3,311,0.0,0.0,0.0,train
2020-08-20,,,3,310,0.0,0.0,0.0,train
2020-08-21,,,3,308,0.0,0.0,0.0,train
2020-08-22,,,3,358,0.0,0.0,0.0,train
2020-08-23,,,3,303,0.0,0.0,0.0,train
2020-08-24,,,3,290,0.0,0.0,0.0,train
2020-08-25,,,3,313,0.0,0.0,0.0,train
2020-08-26,,,3,457,0.0,0.0,0.0,train
2020-08-27,,,1,504,0.0,2.0,0.0,train
2020-08-28,,,1,500,0.0,0.0,0.0,train
2020-08-29,,,0,372,0.0,1.0,0.0,train
2020-08-30,,,0,241,0.0,0.0,0.0,train
2020-08-31,,,0,228,0.0,0.0,0.0,train
2020-09-01,,,0,357,0.0,0.0,0.0,train
2020-09-02,,,0,381,0.0,0.0,0.0,train
2020-09-03,,,5,479,5.0,0.0,0.0,train
2020-09-04,,,6,538,1.0,0.0,0.0,train
2020-09-05,,,6,599,0.0,0.0,0.0,train
2020-09-06,,,6,604,0.0,0.0,0.0,train
2020-09-07,,,6,667,0.0,0.0,0.0,train
2020-09-08,,,6,674,0.0,0.0,0.0,train
2020-09-09,,,5,679,0.0,1.0,0.0,train
2020-09-10,,,4,673,0.0,1.0,0.0,train
2020-09-11,,,4,650,0.0,0.0,0.0,train
2020-09-12,,,4,497,0.0,0.0,0.0,train
2020-09-13,,,4,377,0.0,0.0,0.0,train
2020-09-14,,,4,378,0.0,0.0,0.0,train
2020-09-15,,,3,319,0.0,1.0,0.0,train
2020-09-16,,,3,319,0.0,0.0,0.0,train
2020-09-17,,,3,318,0.0,0.0,0.0,train
2020-09-18,,,3,237,0.0,0.0,0.0,train
2020-09-19,,,3,133,0.0,0.0,0.0,train
2020-09-20,,,3,47,0.0,0.0,0.0,train
2020-09-21,,,3,45,0.0,0.0,0.0,train
2020-09-22,,,3,45,0.0,0.0,0.0,train
2020-09-23,,,2,45,0.0,1.0,0.0,train
2020-09-24,,,2,2,0.0,0.0,0.0,train
2020-09-25,,,3,0,0.0,-1.0,0.0,train
2020-09-26,,,2,4,0.0,1.0,0.0,train
2020-09-27,,,2,4,0.0,0.0,0.0,train
2020-09-28,,,2,4,0.0,0.0,0.0,train
2020-09-29,,,2,4,0.0,0.0,0.0,train
2020-09-30,,,0,4,0.0,2.0,0.0,train
2020-10-01,,,0,4,0.0,0.0,0.0,train
2020-10-02,,,0,4,0.0,0.0,0.0,train
2020-10-03,,,0,4,0.0,0.0,0.0,train
2020-10-04,,,0,0,0.0,0.0,0.0,train
2020-10-05,,,0,0,0.0,0.0,0.0,train
2020-10-06,,,0,0,0.0,0.0,0.0,train
2020-10-07,,,0,0,0.0,0.0,0.0,train
2020-10-08,,,0,0,0.0,0.0,0.0,train
2020-10-09,,,0,104,0.0,0.0,0.0,train
2020-10-10,,,0,106,0.0,0.0,0.0,train
2020-10-11,,,0,106,0.0,0.0,0.0,train
2020-10-12,,,0,106,0.0,0.0,0.0,train
2020-10-13,,,0,106,0.0,0.0,0.0,train
2020-10-14,,,0,106,0.0,0.0,0.0,train
2020-10-15,,,0,106,0.0,0.0,0.0,train
2020-10-16,,,0,104,0.0,0.0,0.0,train
2020-10-17,,,0,104,0.0,0.0,0.0,train
2020-10-18,,,0,104,0.0,0.0,0.0,train
2020-10-19,,,0,104,0.0,0.0,0.0,train
2020-10-20,,,0,104,0.0,0.0,0.0,train
2020-10-21,,,0,104,0.0,0.0,0.0,train
2020-10-22,,,0,3,0.0,0.0,0.0,train
2020-10-23,,,0,3,0.0,0.0,0.0,train
2020-10-24,,,0,3,0.0,0.0,0.0,train
2020-10-25,,,0,3,0.0,0.0,0.0,train
2020-10-26,,,0,3,0.0,0.0,0.0,train
2020-10-27,,,0,3,0.0,0.0,0.0,train
2020-10-28,,,0,3,0.0,0.0,0.0,train
2020-10-29,,,0,4,0.0,0.0,0.0,train
2020-10-30,,,0,4,0.0,0.0,0.0,train
2020-10-31,,,0,4,0.0,0.0,0.0,train
2020-11-01,,,0,4,0.0,0.0,0.0,train
2020-11-02,,,0,3,0.0,0.0,0.0,train
2020-11-03,,,0,33,0.0,0.0,0.0,train
2020-11-04,,,0,47,0.0,0.0,0.0,train
2020-11-05,,,0,44,0.0,0.0,0.0,train
2020-11-06,,,0,44,0.0,0.0,0.0,train
2020-11-07,,,0,44,0.0,0.0,0.0,train
2020-11-08,,,0,44,0.0,0.0,0.0,train
2020-11-09,,,0,110,0.0,0.0,0.0,train
2020-11-10,,,0,107,0.0,0.0,0.0,train
2020-11-11,,,0,107,0.0,0.0,0.0,train
2020-11-12,,,0,107,0.0,0.0,0.0,train
2020-11-13,,,0,107,0.0,0.0,0.0,train
2020-11-14,,,0,108,0.0,0.0,0.0,train
2020-11-15,,,0,108,0.0,0.0,0.0,train
2020-11-16,,,0,191,0.0,0.0,0.0,train
2020-11-17,,,0,191,0.0,0.0,0.0,train
2020-11-18,,,0,191,0.0,0.0,0.0,train
2020-11-19,,,0,190,0.0,0.0,0.0,train
2020-11-20,,,0,247,0.0,0.0,0.0,train
2020-11-21,,,0,247,0.0,0.0,0.0,train
2020-11-22,,,0,185,0.0,0.0,0.0,train
2020-11-23,,,0,281,0.0,0.0,0.0,train
2020-11-24,,,0,285,0.0,0.0,0.0,train
2020-11-25,,,0,285,0.0,0.0,0.0,train
2020-11-26,,,0,286,0.0,0.0,0.0,train
2020-11-27,,,0,286,0.0,0.0,0.0,train
2020-11-28,,,0,285,0.0,0.0,0.0,train
2020-11-29,,,0,235,0.0,0.0,0.0,train
2020-11-30,,,0,206,0.0,0.0,0.0,train
2020-12-01,,,1,274,1.0,0.0,0.0,train
2020-12-02,,,1,274,0.0,0.0,0.0,train
2020-12-03,,,2,285,1.0,0.0,0.0,train
2020-12-04,,,2,294,0.0,0.0,0.0,train
2020-12-05,,,2,368,0.0,0.0,0.0,train
2020-12-06,,,3,370,1.0,0.0,0.0,train
2020-12-07,,,4,223,1.0,0.0,0.0,train
2020-12-08,,,4,223,0.0,0.0,0.0,train
2020-12-09,,,4,284,0.0,0.0,0.0,train
2020-12-10,,,4,283,0.0,0.0,0.0,train
2020-12-11,,,5,283,1.0,0.0,0.0,train
2020-12-12,,,5,284,0.0,0.0,0.0,train
2020-12-13,,,5,333,0.0,0.0,0.0,train
2020-12-14,,,5,323,0.0,0.0,0.0,train
2020-12-15,,,5,213,0.0,0.0,0.0,train
2020-12-16,,,5,158,0.0,0.0,0.0,train
2020-12-17,,,7,158,2.0,0.0,0.0,train
2020-12-18,,,6,158,0.0,0.0,0.0,train
2020-12-19,,,6,195,0.0,1.0,0.0,train
2020-12-20,,,6,273,0.0,0.0,0.0,train
2020-12-21,,,6,224,1.0,1.0,0.0,train
2020-12-22,,,5,280,0.0,1.0,0.0,train
2020-12-23,,,5,363,0.0,0.0,0.0,train
2020-12-24,,,4,362,0.0,1.0,0.0,train
2020-12-25,,,4,358,0.0,1.0,0.0,train
2020-12-26,,,3,304,0.0,0.0,0.0,train
2020-12-27,,,3,304,0.0,0.0,0.0,train
2020-12-28,,,3,333,0.0,0.0,0.0,train
2020-12-29,,,3,421,0.0,0.0,0.0,train
2020-12-30,,,5,420,2.0,0.0,0.0,train
2020-12-31,,,6,374,1.0,0.0,0.0,train
2021-01-01,,,7,263,1.0,0.0,0.0,train
2021-01-02,,,7,389,0.0,0.0,0.0,train
2021-01-03,,,7,495,0.0,0.0,0.0,train
2021-01-04,,,7,451,0.0,0.0,0.0,train
2021-01-05,,,8,476,1.0,0.0,0.0,train
2021-01-06,,,8,476,0.0,0.0,0.0,train
2021-01-07,,,8,479,0.0,0.0,0.0,train
2021-01-08,,,6,481,0.0,2.0,0.0,train
2021-01-09,,,6,481,0.0,0.0,0.0,train
2021-01-10,,,6,407,0.0,0.0,0.0,train
2021-01-11,,,5,296,0.0,1.0,0.0,train
2021-01-12,,,6,388,1.0,0.0,0.0,train
2021-01-13,,,6,391,0.0,0.0,0.0,train
2021-01-14,,,6,391,0.0,0.0,0.0,train
2021-01-15,,,6,269,0.0,0.0,0.0,train
2021-01-16,,,6,182,0.0,0.0,0.0,train
2021-01-17,,,5,120,0.0,1.0,0.0,train
2021-01-18,,,4,117,0.0,1.0,0.0,train
2021-01-19,,,1,163,0.0,3.0,0.0,train
2021-01-20,,,0,177,0.0,1.0,0.0,train
2021-01-21,,,0,180,0.0,0.0,0.0,train
2021-01-22,,,0,205,0.0,0.0,0.0,train
2021-01-23,,,2,205,2.0,0.0,0.0,train
2021-01-24,,,2,192,0.0,0.0,0.0,train
2021-01-25,,,2,217,0.0,0.0,0.0,train
2021-01-26,,,2,272,0.0,0.0,0.0,train
2021-01-27,,,1,242,0.0,1.0,0.0,train
2021-01-28,,,1,241,0.0,0.0,0.0,train
2021-01-29,,,1,240,0.0,0.0,0.0,train
2021-01-30,,,2,240,1.0,0.0,0.0,train
2021-01-31,,,2,205,0.0,0.0,0.0,train
2021-02-01,,,2,202,0.0,0.0,0.0,train
2021-02-02,,,2,227,0.0,0.0,0.0,train
2021-02-03,,,2,198,0.0,0.0,0.0,train
2021-02-04,,,2,196,0.0,0.0,0.0,train
2021-02-05,,,2,202,0.0,0.0,0.0,train
2021-02-06,,,2,173,0.0,0.0,0.0,train
2021-02-07,,,1,126,0.0,1.0,0.0,train
2021-02-08,,,1,118,0.0,0.0,0.0,train
2021-02-09,,,1,191,0.0,0.0,0.0,train
2021-02-10,,,1,211,0.0,0.0,0.0,train
2021-02-11,,,2,211,1.0,0.0,0.0,train
2021-02-12,,,4,210,2.0,0.0,0.0,train
2021-02-13,,,4,252,0.0,0.0,0.0,train
2021-02-14,,,4,149,1.0,1.0,0.0,train
2021-02-15,,,4,148,0.0,0.0,0.0,train
2021-02-16,,,2,195,0.0,2.0,0.0,train
2021-02-17,,,2,195,0.0,0.0,0.0,train
2021-02-18,,,2,185,0.0,0.0,0.0,train
2021-02-19,,,3,181,1.0,0.0,0.0,train
2021-02-20,,,3,181,0.0,0.0,0.0,train
2021-02-21,,,3,148,0.0,0.0,0.0,train
2021-02-22,,,3,141,0.0,0.0,0.0,train
2021-02-23,,,3,141,0.0,0.0,0.0,train
2021-02-24,,,3,142,0.0,0.0,0.0,train
2021-02-25,,,3,142,0.0,0.0,0.0,train
2021-02-26,,,4,54,1.0,0.0,0.0,train
2021-02-27,,,4,53,0.0,0.0,0.0,train
2021-02-28,,,5,53,1.0,0.0,0.0,train
2021-03-01,,,6,53,1.0,0.0,0.0,train
2021-03-02,,,6,65,0.0,0.0,0.0,train
2021-03-03,,,6,65,0.0,0.0,0.0,train
2021-03-04,,,6,107,0.0,0.0,0.0,train
2021-03-05,,,7,94,1.0,0.0,0.0,train
2021-03-06,,,7,54,0.0,0.0,0.0,train
2021-03-07,,,8,56,2.0,1.0,0.0,train
2021-03-08,,,7,100,0.0,1.0,0.0,train
2021-03-09,,,6,155,0.0,1.0,0.0,train
2021-03-10,,,6,155,0.0,0.0,0.0,train
2021-03-11,,,6,155,0.0,0.0,0.0,train
2021-03-12,,,6,155,0.0,0.0,0.0,train
2021-03-13,,,7,155,1.0,0.0,0.0,train
2021-03-14,,,7,165,0.0,0.0,0.0,train
2021-03-15,,,7,153,0.0,0.0,0.0,train
2021-03-16,,,7,193,0.0,0.0,0.0,train
2021-03-17,,,7,212,0.0,0.0,0.0,train
2021-03-18,,,7,211,0.0,0.0,0.0,train
2021-03-19,,,7,208,0.0,0.0,0.0,train
2021-03-20,,,7,208,0.0,0.0,0.0,train
2021-03-21,,,7,110,0.0,0.0,0.0,train
2021-03-22,,,7,110,0.0,0.0,0.0,train
2021-03-23,,,6,110,0.0,1.0,0.0,train
2021-03-24,,,5,110,0.0,1.0,0.0,train
2021-03-25,,,6,110,1.0,0.0,0.0,train
2021-03-26,,,6,62,0.0,0.0,0.0,train
2021-03-27,,,6,61,0.0,0.0,0.0,train
2021-03-28,,,6,29,0.0,0.0,0.0,train
2021-03-29,,,6,5,0.0,0.0,0.0,train
2021-03-30,,,6,2,0.0,0.0,0.0,train
2021-03-31,,,6,0,0.0,0.0,0.0,train
2021-04-01,,,6,0,0.0,0.0,0.0,train
2021-04-02,,,7,0,1.0,0.0,0.0,train
2021-04-03,,,6,0,0.0,0.0,0.0,train
2021-04-04,,,6,0,0.0,0.0,0.0,train
2021-04-05,,,6,0,0.0,0.0,0.0,train
2021-04-06,,,6,11,0.0,0.0,0.0,train
2021-04-07,,,6,52,0.0,0.0,0.0,train
2021-04-08,,,4,51,0.0,3.0,0.0,train
2021-04-09,,,3,51,0.0,1.0,0.0,train
2021-04-10,,,3,50,0.0,0.0,0.0,train
2021-04-11,,,3,50,0.0,0.0,0.0,train
2021-04-12,,,3,50,0.0,0.0,0.0,train
2021-04-13,,,3,97,0.0,0.0,0.0,train
2021-04-14,,,3,97,0.0,0.0,0.0,train
2021-04-15,,,3,97,0.0,0.0,0.0,train
2021-04-16,,,3,69,0.0,0.0,0.0,train
2021-04-17,,,3,111,0.0,0.0,0.0,train
2021-04-18,,,3,111,0.0,0.0,0.0,train
2021-04-19,,,2,111,0.0,1.0,0.0,train
2021-04-20,,,2,111,0.0,0.0,0.0,train
2021-04-21,,,2,111,0.0,0.0,0.0,train
2021-04-22,,,3,111,1.0,0.0,0.0,train
2021-04-23,,,4,111,1.0,0.0,0.0,train
2021-04-24,,,3,111,0.0,1.0,0.0,train
2021-04-25,,,3,65,0.0,0.0,0.0,train
2021-04-26,,,3,65,0.0,0.0,0.0,train
2021-04-27,,,3,135,0.0,0.0,0.0,train
2021-04-28,,,3,135,0.0,0.0,0.0,train
2021-04-29,,,3,85,0.0,0.0,0.0,train
2021-04-30,,,3,71,0.0,0.0,0.0,train
2021-05-01,,,3,71,0.0,0.0,0.0,train
2021-05-02,,,3,72,0.0,0.0,0.0,train
2021-05-03,,,3,72,0.0,0.0,0.0,train
